"elv-4b.gif";"elv-4b.htm";"ELV 4B";"18.00-25";"498";"1673";"17000";"140"
"elv-4b.gif";"elv-4b.htm";"ELV 4B";"18.00-33";"498";"1877";"18500";"125"
"elv-5d.gif";"elv-5d.htm";"ELV 5D";"18.00-25";"498";"1617";"17000";"140"
"smo-5b-5c-5d.gif";"smo-5b-5c-5d.htm";"SMO 5B/5C/5D";"9.50-20";"283";"1052";"4250";"115"
"smo-5b-5c-5d.gif";"smo-5b-5c-5d.htm";"SMO 5B/5C/5D";"12.00-24";"325";"1275";"6900";"120"
"smo-5b-5c-5d.gif";"smo-5b-5c-5d.htm";"SMO 5B/5C/5D";"14.00-24";"389";"1412";"8500";"100"
"smo-5b-5c-5d.gif";"smo-5b-5c-5d.htm";"SMO 5B/5C/5D";"17.5-25";"445";"1400";"8250";"85"
"smo-5b-5c-5d.gif";"smo-5b-5c-5d.htm";"SMO 5B/5C/5D";"18.00-25";"523";"1666";"12500";"80"
"smo-5b-5c-5d.gif";"smo-5b-5c-5d.htm";"SMO 5B/5C/5D";"18.00-25";"523";"1666";"13600";"90"
"sgg-2a-g2.gif";"sgg-2a-g2.htm";"SGG-2A G2";"13.00-24";"333";"1278";"2360";"35"
"sgg-2a-g2.gif";"sgg-2a-g2.htm";"SGG-2A G2";"13.00-24";"333";"1278";"2725";"45"
"sgg-2a-g2.gif";"sgg-2a-g2.htm";"SGG-2A G2";"14.00-24";"362";"1348";"2800";"35"
"sgg-2a-g2.gif";"sgg-2a-g2.htm";"SGG-2A G2";"14.00-24";"362";"1348";"3075";"40"
"rkg-3b-g3.gif";"rkg-3b-g3.htm";"RKG-3B G3";"14.00-24";"361";"1354";"3650";"51"
"sg-2b-g2.gif";"sg-2b-g2.htm";"SG-2B G2";"13.00R24";"343";"1278";"3000";"54"
"sg-2b-g2.gif";"sg-2b-g2.htm";"SG-2B G2";"14.00R24";"367";"1352";"3650";"54"
"compactador-c1.gif";"compactador-c1.htm";"COMPACTADOR C1";"11.00-20";"298";"1074";"5900";"120"